student_id,student_name,grade,course_code,request_type
10042,Alex Rivera,9,MTH101,REQUIRED
10042,Alex Rivera,9,ENG101,REQUIRED
10042,Alex Rivera,9,SS101,REQUIRED
10042,Alex Rivera,9,SCI101,REQUIRED
10042,Alex Rivera,9,AT101,ELECTIVE
10042,Alex Rivera,9,AT101,ELECTIVE
10057,Dana Cole,9,MTH101,REQUIRED
10057,Dana Cole,9,ENG101,REQUIRED
10057,Dana Cole,9,SS101,REQUIRED
10057,Dana Cole,9,SCI101,
10057,Dana Cole,9,AT102,ELECTIVE
10063,Marcus Bell,10,MTH201,REQUIRED
10063,Marcus Bell,10,ENG201,REQUIRED
10063,Marcus Bell,10,SS201,REQUIRED
10063,Marcus Bell,10,SCI201,REQUIRED
10063,Marcus Bell,10,AT201,ELECTIVE
10071,Priya Shah,10,MTH101,REQUIRED
10071,Priya Shah,10,ENG201,REQUIRED
10071,Priya Shah,10,SS201,REQUIRED
10071,Priya Shah,10,SCI201,REQUIRED
10088,Quinn Lopez,9,MTH101,REQUIRED
10088,Quinn Lopez,9,ENG101,REQUIRED
10088,Quinn Lopez,9,ENG102,REQUIRED
10088,Quinn Lopez,9,SS101,REQUIRED
10088,Quinn Lopez,9,SCI101,REQUIRED
